,Country,Confirmed,Death,Recovered,Active,New cases,New death,New recovered,Death/100 Cases,Recovered/100 Cases,Death/100 Recovered,Population,Cases/Million People
158,South Sudan,3104,61,2954,89,0,0,0,1.97,95.17,2.06,11193729,277.0
159,Spain,1628208,44668,150376,1433164,0,0,0,2.74,9.24,29.7,93691843,17378.0
160,Sri Lanka,22988,109,16656,6223,487,2,430,0.47,72.46,0.65,21413250,1074.0
161,Sudan,17404,1235,10175,5994,540,20,211,7.1,58.46,12.14,43849269,397.0
162,Suriname,5312,117,5192,3,1,0,5,2.2,97.74,2.25,586634,9055.0
163,Sweden,243129,6681,0,236448,0,0,0,2.75,0.0,inf,10099270,24074.0
164,Switzerland,318290,4621,222100,91569,0,50,0,1.45,69.78,2.08,8654618,36777.0
165,Syria,7715,409,3444,3862,80,5,55,5.3,44.64,11.88,17500657,441.0
166,Taiwan*,648,7,556,85,9,0,1,1.08,85.8,1.26,23806638,27.0
167,Tajikistan,12118,86,11518,514,36,0,40,0.71,95.05,0.75,9537642,1271.0
168,Tanzania,509,21,183,305,0,0,0,4.13,35.95,11.48,59734213,9.0
169,Thailand,3977,60,3800,117,11,0,2,1.51,95.55,1.58,69799978,57.0
170,Timor-Leste,30,0,30,0,0,0,0,0.0,100.0,0.0,1318442,23.0
171,Togo,2946,64,2435,447,20,0,34,2.17,82.65,2.63,8278737,356.0
172,Trinidad and Tobago,6630,118,5732,780,44,0,22,1.78,86.46,2.06,1399491,4737.0
173,Tunisia,94980,3153,69226,22601,1210,47,762,3.32,72.88,4.55,11818618,8036.0
174,Turkey,578347,13373,396227,168747,30103,182,3611,2.31,68.51,3.38,84339067,6857.0
175,US,13244417,266047,5023063,7955307,155596,1189,75617,2.01,37.93,5.3,330541757,40069.0
176,Uganda,19944,201,8944,10799,356,4,104,1.01,44.85,2.25,45741000,436.0
177,Ukraine,728834,12485,350189,366160,16585,193,9395,1.71,48.05,3.57,43733759,16665.0
178,United Arab Emirates,166502,569,153449,12484,1252,2,741,0.34,92.16,0.37,9890400,16835.0
179,United Kingdom,1609141,58127,3500,1547514,15891,479,38,3.61,0.22,1660.77,68395658,23527.0
180,Uruguay,5511,75,4185,1251,208,1,78,1.36,75.94,1.79,3473727,1586.0
181,Uzbekistan,72718,608,69980,2130,205,1,200,0.84,96.23,0.87,33469199,2173.0
182,Venezuela,101760,892,96652,4216,236,4,250,0.88,94.98,0.92,28435943,3579.0
183,Vietnam,1341,35,1179,127,2,0,9,2.61,87.92,2.97,97338583,14.0
184,West Bank and Gaza,81890,704,62944,18242,1461,15,984,0.86,76.86,1.12,4543126,18025.0
185,Western Sahara,10,1,8,1,0,0,0,10.0,80.0,12.5,597330,17.0
186,Yemen,2160,615,1498,47,12,1,7,28.47,69.35,41.05,29825968,72.0
187,Zambia,17589,357,16925,307,20,0,80,2.03,96.22,2.11,18383956,957.0
188,Zimbabwe,9822,275,8472,1075,108,0,2,2.8,86.26,3.25,14862927,661.0
