,Country,Confirmed,Death,Recovered,Active,New cases,New death,New recovered,Death/100 Cases,Recovered/100 Cases,Death/100 Recovered,Population,Cases/Million People
41,Costa Rica,111257,1404,68129,41724,1286,19,1410,1.26,61.24,2.06,5094114,21840.0
42,Cote d'Ivoire,20753,126,20410,217,37,0,45,0.61,98.35,0.62,26378274,787.0
43,Croatia,52660,594,37332,14734,1165,32,2293,1.13,70.89,1.59,4105268,12827.0
44,Cuba,6970,129,6318,523,35,1,29,1.85,90.65,2.04,11326616,615.0
45,Cyprus,4760,27,1882,2851,197,1,0,0.57,39.54,1.43,1207361,3942.0
46,Czechia,350896,3654,170608,176634,9252,225,13190,1.04,48.62,2.14,10708981,32767.0
47,Denmark,48753,724,35917,12112,942,1,452,1.49,73.67,2.02,5897840,8266.0
48,Djibouti,5573,61,5460,52,10,0,12,1.09,97.97,1.12,988002,5641.0
49,Dominica,50,0,33,17,0,0,0,0.0,66.0,0.0,71991,695.0
50,Dominican Republic,127591,2250,105634,19707,259,1,345,1.76,82.79,2.13,10847904,11762.0
51,Ecuador,169562,12692,149048,7822,368,8,0,7.49,87.9,8.52,17643060,9611.0
52,Egypt,107925,6291,99652,1982,189,13,97,5.83,92.33,6.31,102334403,1055.0
53,El Salvador,34015,983,29788,3244,0,4,0,2.89,87.57,3.3,6486201,5244.0
54,Equatorial Guinea,5089,83,4965,41,1,0,0,1.63,97.56,1.67,1402985,3627.0
55,Eritrea,480,0,426,54,17,0,14,0.0,88.75,0.0,3546427,135.0
56,Estonia,5046,73,3832,1141,61,0,8,1.45,75.94,1.91,1326539,3804.0
57,Eswatini,5929,117,5657,155,4,0,5,1.97,95.41,2.07,1160164,5110.0
58,Ethiopia,96942,1489,54405,41048,359,11,953,1.54,56.12,2.74,114963583,843.0
59,Fiji,34,2,31,1,0,0,0,5.88,91.18,6.45,896444,38.0
60,Finland,16400,359,11300,4741,109,1,0,2.19,68.9,3.18,5540718,2960.0
61,France,1460745,37485,123664,1299596,1746,428,0,2.57,8.47,30.31,68136441,21439.0
62,Gabon,8984,55,8779,150,16,0,81,0.61,97.72,0.63,2225728,4036.0
63,Gambia,3672,119,3196,357,0,0,0,3.24,87.04,3.72,2416664,1519.0
64,Georgia,42579,342,26800,15437,1852,7,1696,0.8,62.94,1.28,3989175,10674.0
65,Germany,569598,10669,372499,186430,17538,128,8954,1.87,65.4,2.86,83783945,6798.0
66,Ghana,48200,320,47260,620,76,0,45,0.66,98.05,0.68,31072945,1551.0
67,Greece,42080,642,23074,18364,1151,7,0,1.53,54.83,2.78,10423056,4037.0
68,Grenada,29,0,27,2,1,0,3,0.0,93.1,0.0,112519,258.0
69,Guatemala,108104,3738,97756,6610,0,0,0,3.46,90.43,3.82,17915567,6034.0
70,Guinea,12213,73,10600,1540,18,0,11,0.6,86.79,0.69,13132792,930.0
71,Guinea-Bissau,2413,41,1818,554,0,0,0,1.7,75.34,2.26,1967998,1226.0
72,Guyana,4238,128,3264,846,30,2,22,3.02,77.02,3.92,786559,5388.0
73,Haiti,9057,232,7429,1396,0,0,0,2.56,82.02,3.12,11402533,794.0
74,Holy See,27,0,15,12,0,0,0,0.0,55.56,0.0,809,33375.0
75,Honduras,98405,2688,41116,54601,193,13,429,2.73,41.78,6.54,9904608,9935.0
76,Hungary,82780,1889,20476,60415,3581,70,398,2.28,24.74,9.23,9660350,8569.0
77,Iceland,4931,12,4010,909,41,0,62,0.24,81.32,0.3,341250,14450.0
